MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH,ABOUT,ACCOUNT,ACTIONID,ACTOR,ALLOW_REVISIONS,AVGPRICE,C2CFORWARD,CLIENTLISTID,CLIENTSENDINGTIME,CLIENT_RULE80A,CLIENT_SYMBOL,CLORDID,CONTRABROKER,CONTRACLIENTID,CUSTOMERORIGINATED,DESKID,DESTINATION_CATEGORY,DESTINATION_NAME,EXECBROKER,EXECID,EXECREFID,EXPERT_AGGR_IN_THE_MONEY,EXPERT_FADE_LOGIC,EXPERT_ID,EXPERT_IWOULD_PRICE_ALLOCATION,EXPERT_IWOULD_PRICE_ALLOCATION_TYPE,GOBLINQUEUEID,INFOTYPE,INTERNALORIGINATOR,LASTMKT,LASTMSGSEQNUMPROCESSED,LASTPRICE,LASTSHARES,LIQUIDITY,LISTID,LISTNAME,L_ROOTORDERID,MIN_PARTICIPATION_RATE,MSGSEQNUM,MUST_COMPLETE,NUMROOTS,NUM_PARENTS,ONBEHALFOFTARGET,ORDSTATUS,ORIGCLORDID,ORIGSENDINGTIME,PARENTID,PARENTSHARES,QUOTE_BIDPRICE*,QUOTE_LASTPRICE*,QUOTE_LULD_DOWN_PRICE*,QUOTE_LULD_UP_PRICE*,QUOTE_OFFERPRICE*,QUOTE_TICKDIRECTION*,REFORDERID,REGION,REPORTABLE,REPORT_STATUS,ROOTORDERID,RULE80A,SCHEDULE_DISCRETION,SECONDARYORDERID,SENDERCOMPID,SENDERTARGET,SERVERMESSAGE,SESSION_NUM*,SNP_DOLLAR_VOLUME,SNP_DOLLAR_VOLUME_OE,SNP_LAST_TRADE_PRICE,SNP_LAST_TRADE_SIZE,SNP_LOW,SNP_ORDER_BOOK_DOLLAR_VOLUME,SNP_ORDER_BOOK_TRADE_COUNT,SNP_ORDER_BOOK_VOLUME,SNP_PRIM_DOLLAR_VOLUME,SNP_PRIM_LAST_TRADE_PRICE,SNP_PRIM_ORDER_BOOK_DOLLAR_VOLUME,SNP_PRIM_ORDER_BOOK_VOLUME,SNP_PRIM_VOLUME,SNP_TRADE_COUNT,SNP_VOLUME,TARGETCOMPID,TICKS_AGGRESSIVE,TOEXECORDERID,TRACKING_DISCRETION,TRADEREPORTREFID,TRANSACTIONID,WAVE_STRATEGY
"ROUTE_ORDER","1150916000000146","2015-09-17 06:30:26.435 LON","TB92","SPPJ.I","Sell","21015","0.00","E-WORKEU","18.00","","88.00","1970-01-01 01:00:00.000 LON","1970-01-01 01:00:00.000 LON","NORMAL","","0.00","","","","","","18300.00","18400.00","","","","","","","0.00","","100.00","","","","CLOSE","","0.00","N","","","0","0","0","0.00","550","3242","0.00","","RULF8004","A2HblR:28g","FL43","Y","","","B2HblR:28h","2015-09-17 06:30:26.308 LON","A","SPPJ.I","B2HblR:28q","","","Y","KL92","Experts EU","WORK EU","","","","N","Y","","100.00","PERCENT","","","QuickWave - Europe - Experts - WORK","","","","","","1150916000000138","Russell Implementation Services [freddie.larsson] @ 09/16/15 22:30:17","","7.00","55","N","1","1","","","","","1150916000000096","21015","","","","","","","","U","","","1150916000000096","A","","","gpc04:8071:recvus","FROMUSTOUK","","6865391","0.00","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0","0","DKKL92","","","","","B2HblR:28q","Europe - Experts - WORK"
"ROUTE_INFO","1150916000000146","2015-09-17 06:30:26.473 LON","","","","","","","","","","","","","","","","","","","","","","","E4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","18134","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","6865464","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_ORDER_ACK","1150916000000146","2015-09-17 06:30:26.474 LON","TB92","","","","","","","","","","","","","","","","","","","","","","","","","2015-09-17 06:30:26.472 LON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","144244800580868","","","","","","","","","","","","","","","18135","","","","DKKL92","0","","","","","","","","","","","","","","","","","","144244800580859","E4.Expert","","","6865465","","","","","","","","","","","","","","","","E4.Expert","","1150916000000146","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 06:30:26.474 LON","","","","","","","18.00","","88.00","2015-09-17 08:00:00.000 LON","2015-09-17 17:00:00.000 LON","NORMAL","","","","","","","","","","","","","","","","","","","18.00","","","CLOSE","","0.00","N","","5","","","","","","","","ExpertOptions","","","","","","","","","","","B2HblR:28q","","","","","","","","","","N","Y","","","","","O","","","","","","","","","","7.00","18136","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","NORMAL","","E4.Expert","","","6865466","","","","","","","","","","","","","","","","E4.Expert","5","","NORMAL","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 06:31:01.470 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:?AucType:? ValidQuote:N Cons:Y","","","","","WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","18184","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","6868127","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 06:31:31.474 LON","","","","","","","","","","","","","","","","","","","","","","","E4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","18231","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","6870030","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 06:32:11.474 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:?AucType:? ValidQuote:N Cons:Y","","","","","WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","18289","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","6872657","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 06:32:51.474 LON","","","","","","","","","","","","","","","","","","","","","","","E4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","18348","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","6875043","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 06:33:31.471 LON","","","","","","","","","","","","","","","","","","","Exp:0","","","Limit Price: 0.00000  Lim Px Text: Stock not yet open.  Quote trigger: 0.0   DarkLim: Stock not yet open.AucState:?AucType:? ValidQuote:N Cons:Y","","","","","WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","18410","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","6877846","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
"ROUTE_INFO","1150916000000146","2015-09-17 06:34:11.473 LON","","","","","","","","","","","","","","","","","","","","","","","E4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B2HblR:28q","","","","","","","","","","","","","","","","O","","","","","","","","","","","18469","","","","DKKL92","","B2HblR:28q","","","","","","","","","","","","","","","","","","E4.Expert","","","6880297","","","","","","","","","","","","","","","","E4.Expert","","","","","",""
