MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH
"ROUTE_ORDER","2150916006573438","2015-09-17 11:00:34.288 LON","HM49","SAN.I","Buy","969740","5.195","E-CBRAEU","","","","","","SUPER","","","","","","","","5.193","5.194","","","","","","","","","","","","","","","","","","","12042486","7392","400","5.194","8926","29528","5.213"
"ROUTE_INFO","2150916006573438","2015-09-17 11:00:34.300 LON","","","","","","","","","","","","","","","","","","","","","","","E6","","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_ORDER_ACK","2150916006573438","2015-09-17 11:00:34.300 LON","HM49","","","","","","","","","","","","","","","","","","","","","","","","","2015-09-17 11:00:34.299 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:00:34.301 LON","","","","","","","100.00","","100.00","2015-09-17 11:00:34.288 LON","2015-09-17 16:30:00.000 LON","SUPER-AGGRESSIVE","","0.00","","","","","","","","","","","","","","0.00","","0.00","100.00","","0","","","0.00","N","","10","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:00:34.382 LON","HM49","","","","","","","","","","","","","","4970","","","","","5.193","5.194","","","","","2015-09-17 11:00:34.381 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:00:34.388 LON","HM49","","","","","","","","","","","","","","7047","","","","","","","","","","","2015-09-17 11:00:34.387 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:00:34.389 LON","HM49","","","","","","","","","","","","","","9429","","","","","","","","","","","2015-09-17 11:00:34.387 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:00:34.389 LON","HM49","","","","","","","","","","","","","","10038","","","","","","","","","","","2015-09-17 11:00:34.387 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:00:34.389 LON","HM49","","","","","","","","","","","","","","11119","","","","","","","","","","","2015-09-17 11:00:34.387 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:00:34.428 LON","HM49","","","","","","","","","","","","","","13796","","","","","","","","","","","2015-09-17 11:00:34.405 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:00:34.430 LON","HM49","","","","","","","","","","","","","","15091","","","","","","","","","","","2015-09-17 11:00:34.405 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:00:34.432 LON","HM49","","","","","","","","","","","","","","19134","","","","","","","","","","","2015-09-17 11:00:34.405 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:00:34.434 LON","HM49","","","","","","","","","","","","","","20429","","","","","","","","","","","2015-09-17 11:00:34.405 LON","","","","","","","","","","","","","","","","","","","",""
